	S001	S002	S003	S004	S049	S050	S051	S052
seq391	0	0	0	19	0	0	0	0
seq392	19	0	0	0	0	0	0	0
seq393	15	0	0	1	0	0	3	0
seq394	0	4	0	0	11	0	2	2
seq395	18	0	0	0	0	0	0	0
seq396	6	0	3	0	0	0	6	3
seq397	0	0	0	0	0	18	0	0
seq398	0	0	0	0	0	0	18	0
seq399	0	0	0	0	0	18	0	0
seq400	0	0	0	18	0	0	0	0
seq401	18	0	0	0	0	0	0	0
seq402	17	0	0	0	0	0	0	0
seq403	0	0	0	17	0	0	0	0
seq404	0	0	0	0	0	17	0	0
seq405	0	0	0	0	0	0	0	17
seq406	0	0	0	0	0	17	0	0
seq407	0	6	0	0	0	10	0	1
seq408	17	0	0	0	0	0	0	0
seq409	17	0	0	0	0	0	0	0
seq410	0	0	0	0	0	0	16	0
seq411	0	0	0	0	0	0	16	0
seq412	16	0	0	0	0	0	0	0
seq413	0	0	0	0	9	0	7	0
seq414	15	0	0	0	0	0	0	0
seq415	0	0	0	0	0	0	0	15
seq416	0	0	0	0	9	0	0	6
seq417	0	0	15	0	0	0	0	0
seq418	15	0	0	0	0	0	0	0
seq419	3	0	0	1	6	3	0	2
seq420	0	0	0	0	0	15	0	0
seq421	0	0	0	0	0	15	0	0
seq422	11	0	3	0	0	0	0	0
seq423	2	1	0	0	0	0	2	9
seq424	0	0	0	0	14	0	0	0
seq425	0	0	0	0	14	0	0	0
seq426	0	0	0	0	7	7	0	0
seq427	0	0	0	0	5	0	9	0
seq428	0	0	0	0	0	12	0	2
seq429	0	0	0	0	0	0	14	0
seq430	0	0	0	0	0	5	9	0
seq431	14	0	0	0	0	0	0	0
seq432	0	0	0	0	0	14	0	0
seq433	0	0	0	0	0	3	11	0
seq434	7	0	0	0	2	0	0	4
seq435	0	0	0	0	0	0	13	0
seq436	0	0	13	0	0	0	0	0
seq437	0	3	0	2	1	0	0	7
seq438	0	0	0	0	0	13	0	0
seq439	0	0	0	0	0	7	6	0
seq440	0	0	0	13	0	0	0	0
seq441	13	0	0	0	0	0	0	0
seq442	4	4	0	0	5	0	0	0
seq443	12	0	0	0	0	0	0	0
seq444	3	0	2	6	0	0	0	1
seq445	0	12	0	0	0	0	0	0
seq446	0	0	0	0	12	0	0	0
seq447	0	0	0	0	0	0	12	0
seq448	12	0	0	0	0	0	0	0
seq449	0	0	0	0	5	0	7	0
seq450	0	0	12	0	0	0	0	0
seq451	12	0	0	0	0	0	0	0
seq452	0	5	0	0	5	0	0	2
seq453	0	0	12	0	0	0	0	0
seq454	11	0	0	0	0	0	0	0
seq455	11	0	0	0	0	0	0	0
seq456	6	5	0	0	0	0	0	0
seq457	0	0	11	0	0	0	0	0
seq458	0	0	3	0	0	6	2	0
seq459	0	0	0	0	11	0	0	0
seq460	0	0	0	0	0	11	0	0
seq461	0	0	0	0	0	11	0	0
seq462	11	0	0	0	0	0	0	0
seq463	0	0	0	11	0	0	0	0
seq464	0	0	0	0	11	0	0	0
seq465	0	11	0	0	0	0	0	0
seq466	11	0	0	0	0	0	0	0
seq467	11	0	0	0	0	0	0	0
seq468	2	0	0	0	0	0	8	1
seq469	0	0	7	4	0	0	0	0
seq470	0	0	0	0	0	0	11	0
seq471	10	0	0	0	0	0	0	0
seq472	0	10	0	0	0	0	0	0
seq473	0	2	0	2	0	0	5	1
seq474	0	0	0	0	0	0	0	10
seq475	7	0	3	0	0	0	0	0
seq476	6	0	0	0	0	0	0	4
seq477	0	0	0	0	0	0	10	0
seq478	10	0	0	0	0	0	0	0
seq479	0	0	0	0	10	0	0	0
seq480	0	0	0	0	0	10	0	0
seq481	10	0	0	0	0	0	0	0
seq482	0	0	0	0	0	1	3	6
seq483	10	0	0	0	0	0	0	0
seq484	10	0	0	0	0	0	0	0
seq485	3	2	0	0	2	3	0	0
seq486	3	0	0	0	2	4	0	1
seq487	0	0	10	0	0	0	0	0
seq488	0	0	0	0	0	10	0	0
seq489	9	0	0	0	0	0	0	0
seq490	4	1	3	0	0	0	0	1
seq491	3	0	0	0	3	1	0	2
seq492	2	0	0	0	3	4	0	0
seq493	0	9	0	0	0	0	0	0
seq494	0	0	9	0	0	0	0	0
seq495	0	0	0	0	0	9	0	0
seq496	0	0	0	0	0	9	0	0
seq497	9	0	0	0	0	0	0	0
seq498	5	0	0	0	4	0	0	0
seq499	0	9	0	0	0	0	0	0
seq500	0	0	0	9	0	0	0	0
seq501	0	0	9	0	0	0	0	0
seq502	9	0	0	0	0	0	0	0
seq503	0	9	0	0	0	0	0	0
seq504	0	1	2	2	0	0	1	3
seq505	0	0	0	9	0	0	0	0
seq506	0	0	0	9	0	0	0	0
seq507	0	0	0	0	9	0	0	0
seq508	0	0	0	0	0	0	9	0
seq509	0	0	0	0	0	0	0	9
seq510	8	0	0	0	0	0	0	0
seq511	8	0	0	0	0	0	0	0
seq512	8	0	0	0	0	0	0	0
seq513	8	0	0	0	0	0	0	0
seq514	0	8	0	0	0	0	0	0
seq515	0	8	0	0	0	0	0	0
seq516	0	0	3	0	0	4	1	0
seq517	0	0	2	0	0	5	1	0
seq518	0	0	0	0	8	0	0	0
seq519	0	0	0	0	8	0	0	0
seq520	0	0	0	0	1	3	4	0
seq521	0	0	0	0	0	0	8	0
seq522	0	0	0	0	0	0	8	0
seq523	0	0	0	0	0	0	0	8
seq524	0	2	0	6	0	0	0	0
seq525	8	0	0	0	0	0	0	0
seq526	0	0	0	8	0	0	0	0
seq527	0	0	0	0	4	0	0	4
seq528	0	0	0	8	0	0	0	0
seq529	0	8	0	0	0	0	0	0
seq530	8	0	0	0	0	0	0	0
seq531	8	0	0	0	0	0	0	0
seq532	3	0	0	0	0	5	0	0
seq533	1	0	0	0	2	5	0	0
seq534	0	8	0	0	0	0	0	0
seq535	0	5	0	0	2	0	1	0
seq536	0	0	8	0	0	0	0	0
seq537	0	0	0	0	0	8	0	0
seq538	7	0	0	0	0	0	0	0
seq539	7	0	0	0	0	0	0	0
seq540	7	0	0	0	0	0	0	0
seq541	7	0	0	0	0	0	0	0
seq542	4	3	0	0	0	0	0	0
seq543	0	0	0	0	7	0	0	0
seq544	0	0	0	0	7	0	0	0
seq545	0	0	0	0	7	0	0	0
seq546	0	0	0	0	4	3	0	0
seq547	0	0	0	0	0	7	0	0
seq548	0	0	0	0	0	7	0	0
seq549	0	0	0	0	0	0	7	0
seq550	1	4	0	0	2	0	0	0
seq551	0	0	0	0	0	0	7	0
seq552	0	0	0	0	0	0	7	0
seq553	0	0	7	0	0	0	0	0
seq554	0	0	0	0	7	0	0	0
seq555	0	0	0	0	0	0	0	7
seq556	7	0	0	0	0	0	0	0
seq557	7	0	0	0	0	0	0	0
seq558	7	0	0	0	0	0	0	0
seq559	0	7	0	0	0	0	0	0
seq560	0	7	0	0	0	0	0	0
seq561	0	7	0	0	0	0	0	0
seq562	0	0	0	0	0	7	0	0
seq563	0	0	0	0	0	0	7	0
seq564	6	0	0	0	0	0	0	0
seq565	6	0	0	0	0	0	0	0
seq566	6	0	0	0	0	0	0	0
seq567	3	0	0	0	0	3	0	0
seq568	0	0	6	0	0	0	0	0
seq569	0	0	6	0	0	0	0	0
seq570	0	0	6	0	0	0	0	0
seq571	0	0	6	0	0	0	0	0
seq572	0	0	0	6	0	0	0	0
seq573	0	0	0	0	0	6	0	0
seq574	0	0	0	0	0	6	0	0
seq575	0	0	0	0	0	6	0	0
seq576	0	0	0	0	0	0	6	0
seq577	0	0	0	0	0	0	6	0
seq578	0	0	0	0	0	0	6	0
seq579	0	0	0	0	0	0	6	0
seq580	0	0	0	0	0	0	0	6
seq581	0	0	0	0	0	0	0	6
seq582	0	0	0	0	0	0	0	6
seq583	0	0	0	0	0	0	0	6
seq584	3	0	0	3	0	0	0	0
seq585	0	0	0	0	6	0	0	0
seq586	0	0	0	0	6	0	0	0
seq587	0	0	0	0	0	0	6	0
seq588	0	0	0	0	0	0	6	0
seq589	6	0	0	0	0	0	0	0
seq590	0	5	1	0	0	0	0	0
